Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
UCAC4 671-056976,2023-04-03 22:52:49.841,194.1467458333333,44.04041722222222,194.18887274746,44.02871300719284,0.0324688272205916,,,15.111,,,83.35126223010161,,,0.083325821214127,1.039632,,,0.06040635979974422
UCAC4 671-056978,2023-04-03 22:52:49.841,194.23035625,44.08350444444444,194.2401601106095,44.07556337940393,0.0106142453134109,,,13.154,,,56.75007645874393,,,0.5006901461341684,1.039632,,,0.4777706847197856
[VV2006] J125711.4+435654,2023-04-03 22:52:49.841,194.29742916666663,43.94843611111111,194.30789451685536,43.92086912171413,0.0285786050978447,,,19.89,,,20.93898758166108,,,1.5832170752660195,1.039632,,,1.5602976138516367
BD+44  2235,2023-04-03 23:05:14.997,194.26339291666665,44.00939055555556,194.24689749415256,44.019417673687066,0.0155329415179324,,,11.283,,,70.67884771545556,,,0.2623826222365419,1.030978,,,0.07680522215365773
BD+44  2236,2023-04-03 23:05:14.997,194.3568083333333,44.03411805555555,194.36338784726567,44.04961417251812,0.0162018032407066,,,12.118,,,59.34677312120528,,,0.4521134988070615,1.030978,,,0.2665360987241773
BD+44  2237,2023-04-03 23:05:14.997,194.35763874999995,43.94248611111111,194.3632842477081,43.943240500655264,0.0041343488724841,,,11.74,,,1687.3421052392405,,,-3.182401586038448,1.030978,,,-3.367978986121332
GALEX J125702.3+435245,2023-04-03 23:05:14.997,194.2596116666666,43.87941444444444,194.2683244243754,43.907487649985,0.0287667631241175,,,18.1,,,272.5765534149629,,,-1.2031149659293314,1.030978,,,-1.3886923660122157
TYC 3023-1727-1,2023-04-03 23:05:14.997,194.45246958333328,44.14454194444444,194.44387904705096,44.12467559847926,0.0208010773037762,,,12.18,,,636.2032361782337,,,-2.1233834111639647,1.030978,,,-2.3089608112468487
TYC 3023-1747-1,2023-04-03 23:05:14.997,194.32141541666664,44.016803333333336,194.31719114633896,43.97683240263372,0.0400862807111718,,,12.02,,,590.9108810020621,,,-2.043198694224626,1.030978,,,-2.22877609430751
TYC 3023-1899-1,2023-04-03 23:05:14.997,194.1680658333333,43.94271277777777,194.17704498196616,43.95642244806372,0.0151573554157371,,,12.427,,,37.11957377576664,,,0.9615988215884264,1.030978,,,0.7760214215055422
TYC 3023-1974-1,2023-04-03 23:05:14.997,194.15329875,44.24989027777778,194.16309540204125,44.21542925043106,0.0351686620428031,,,12.111,,,906.2940909536964,,,-2.5075665973964885,1.030978,,,-2.6931439974793725
UCAC4 670-057697,2023-04-03 23:05:14.997,194.1333308333333,43.945865,194.14843945877,43.98531522976237,0.0409215855081553,,,13.951,,,8.526770635550577,,,2.558644821327836,1.030978,,,2.373067421244952
UCAC4 671-056978,2023-04-03 23:05:14.997,194.23035625,44.08350444444444,194.23148589753808,44.08924153477658,0.0057941869403318,,,13.154,,,116.98760803015762,,,-0.2847433797169766,1.030978,,,-0.47032077979986076
UCAC4 671-056981,2023-04-03 23:05:14.997,194.25201875,44.08410611111111,194.2840062703368,44.10061787814422,0.0282921412987974,,,14.607,,,121.5054281217448,,,-0.3258829263951874,1.030978,,,-0.5114603264780716
[VV2006] J125713.1+435912,2023-04-03 23:05:14.997,194.3046125,43.9867075,194.27533145275237,43.95524679261762,0.0378663572981035,,,19.46,,,92.39906539721858,,,-0.0285626724475305,1.030978,,,-0.21414007253041467
BD+44  2235,2023-04-03 23:19:50.167,194.26339291666665,44.00939055555556,194.2358424060772,44.016846827423215,0.0211703214040043,,,11.283,,,70.82877199154342,,,0.2600819931147501,1.022549,,,
BD+44  2236,2023-04-03 23:19:50.167,194.3568083333333,44.03411805555555,194.36742710785265,44.07012638129115,0.0368082027376502,,,12.118,,,130.27017686478644,,,-0.4015062333440173,1.022549,,,
BD+44  2237,2023-04-03 23:19:50.167,194.35763874999995,43.94248611111111,194.35220491490605,43.94069772221779,0.0043019679440839,,,11.74,,,1715.1767294396736,,,-3.2001659158706177,1.022549,,,
GALEX J125702.3+435245,2023-04-03 23:19:50.167,194.2596116666666,43.87941444444444,194.25726044497077,43.904950151827926,0.0255918607264788,,,18.1,,,274.78162933316673,,,-1.2118629623456827,1.022549,,,
GEN# +7.00320230,2023-04-03 23:19:50.167,194.4333333333333,44.14666666666667,194.4048070521128,44.120026034177286,0.0335991737911559,,,12.41,,,55.88542270487636,,,0.5173599231325896,1.022549,,,
TYC 3023-1727-1,2023-04-03 23:19:50.167,194.45246958333328,44.14454194444444,194.43282027757127,44.122126010116574,0.0264832204024046,,,12.18,,,654.6417512181811,,,-2.15440297625543,1.022549,,,
TYC 3023-1747-1,2023-04-03 23:19:50.167,194.32141541666664,44.016803333333336,194.32726260275004,44.00144751847407,0.0159212750664304,,,12.02,,,36.59969316658311,,,0.976912662340318,1.022549,,,
TYC 3023-1899-1,2023-04-03 23:19:50.167,194.1680658333333,43.94271277777777,194.16597415538808,43.95383729643974,0.0112259861761113,,,12.427,,,35.744926042685904,,,1.0025702665111138,1.022549,,,
TYC 3023-1974-1,2023-04-03 23:19:50.167,194.15329875,44.24989027777778,194.15206356870425,44.21289248853355,0.0370083735030111,,,12.111,,,923.817428464963,,,-2.5283591045476843,1.022549,,,
UCAC4 670-057697,2023-04-03 23:19:50.167,194.1333308333333,43.945865,194.12155604020649,43.96900602181261,0.0246445131816417,,,13.951,,,15.204958889476984,,,1.9306431479614716,1.022549,,,
