Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),Apparent magnitude V (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
TYC 4273-343-1,2022-12-07 20:48:23.987,339.3993054166666,65.13731277777778,339.4497743689849,65.1414459062327,0.0216165775216665,,11.055931091308594,11.54,11.04,,,1517.0852366628765,,,-4.814343692459072,1.12342,,,-2.6876203769892215
TYC 4273-435-1,2022-12-07 20:48:23.987,339.8296558333333,64.86889416666666,339.87315374169515,64.89932552629583,0.0355940897445743,,12.39925765991211,12.99,12.02,,,103.44938673891464,,,-1.898638538383268,1.12342,,,0.2280847770865828
TYC 4273-695-1,2022-12-07 20:48:23.987,339.6230466666666,65.06957249999999,339.65565464024974,65.07691256530283,0.0155802706570389,,11.706887245178224,12.47,12.15,,,1373.7245985166428,,,-4.706567924704047,1.12342,,,-2.5798446092341965
TYC 4273-822-1,2022-12-07 20:48:23.987,339.8645287499999,65.14470083333335,339.9004376183895,65.13620524993965,0.017322289415535,,10.90470027923584,11.65,10.91,,,202.90613685133508,,,-2.6300566931736267,1.12342,,,-0.5033333777037758
TYC 4273-849-1,2022-12-07 20:48:23.987,339.3875783333333,65.02880222222223,339.405620653417,65.02481372683826,0.0085983895384922,,12.342562675476074,13.1,12.34,,,447.980987734427,,,-3.489967694685556,1.12342,,,-1.363244379215705
TYC 4273-922-1,2022-12-07 20:48:23.987,339.2812283333333,64.93230138888889,339.33136179850914,64.90682708913509,0.0331745139041168,,10.665483474731444,11.47,10.81,,,208.35369300720004,,,-2.6588217437466306,1.12342,,,-0.5320984282767798
V* RZ Cep,2022-12-07 20:48:23.987,339.8049033333333,64.85850305555554,339.83725927005645,64.84995049786404,0.0161918189525211,9.300000190734863,9.294269561767578,9.48,9.49,,,124.33081107981184,,,-2.098265654255908,1.12342,,,0.028457661213942664
TYC 4273-1186-1,2022-12-07 20:53:31.349,339.8064062499999,65.00935527777777,339.8184019094797,65.00118628354932,0.0096136889899306,,11.109890937805176,11.52,11.2,,,1709.3300954843444,,,-4.943883585097093,1.128864,,,-2.9066806433276304
TYC 4273-149-1,2022-12-07 20:53:31.349,339.36657125,64.86602138888888,339.431755979886,64.88138309045914,0.031655590536369,,12.062689781188965,12.75,12.0,,,90.25895251910788,,,-1.750544459996783,1.128864,,,0.2866584817726796
TYC 4273-319-1,2022-12-07 20:53:31.349,339.58776499999993,65.066285,339.58720214900256,65.02904178940977,0.0372439675109791,,12.238874435424805,12.89,12.44,,,291.2858942413774,,,-3.022617372416636,1.128864,,,-0.9854144306471735
TYC 4273-343-1,2022-12-07 20:53:31.349,339.3993054166666,65.13731277777778,339.4593742882085,65.13949962945063,0.0253491226351833,,11.055931091308594,11.54,11.04,,,1418.348814509699,,,-4.741276362292173,1.128864,,,-2.7040734205227106
TYC 4273-659-1,2022-12-07 20:53:31.349,340.02271916666666,64.95526805555556,339.92601210797733,64.95522510386846,0.0409386352030786,,10.68376636505127,11.52,10.84,,,209.51801398026828,,,-2.664872159147857,1.128864,,,-0.6276692173783944
TYC 4273-695-1,2022-12-07 20:53:31.349,339.6230466666666,65.06957249999999,339.6652072940495,65.07494886554213,0.0185651722706379,,11.706887245178224,12.47,12.15,,,1319.1412163361356,,,-4.662546962257588,1.128864,,,-2.6253440204881255
TYC 4273-822-1,2022-12-07 20:53:31.349,339.8645287499999,65.14470083333335,339.9099984798999,65.13424728557699,0.0217875371156137,,10.90470027923584,11.65,10.91,,,182.2699454822784,,,-2.5136063964373365,1.128864,,,-0.4764034546678739
TYC 4273-849-1,2022-12-07 20:53:31.349,339.3875783333333,65.02880222222223,339.3991360987442,65.0360003645851,0.0086956296091401,,12.342562675476074,13.1,12.34,,,1875.546055222695,,,-5.04463806972692,1.128864,,,-3.0074351279574576
TYC 4273-922-1,2022-12-07 20:53:31.349,339.2812283333333,64.93230138888889,339.3408672864759,64.90488175063635,0.0372958394538459,,10.665483474731444,11.47,10.81,,,171.1554762364234,,,-2.445295735354056,1.128864,,,-0.4080927935845935
V* RZ Cep,2022-12-07 20:53:31.349,339.8049033333333,64.85850305555554,339.7883787334442,64.87243689046909,0.0156017467640972,9.300000190734863,9.294269561767578,9.48,9.49,,,1776.3445237002527,,,-4.985636740835573,1.128864,,,-2.9484337990661103
TYC 4273-1186-1,2022-12-07 20:58:38.932,339.8064062499999,65.00935527777777,339.8327905391387,64.99600652596709,0.017392454454007,,11.109890937805176,11.52,11.2,,,1580.3379512279923,,,-4.858693661366903,1.134455,,,-2.837855647188608
TYC 4273-149-1,2022-12-07 20:58:38.932,339.36657125,64.86602138888888,339.35527971284137,64.89970448308854,0.0340223885613413,,12.062689781188965,12.75,12.0,,,169.81201009046367,,,-2.436739744290151,1.134455,,,-0.4159017301118557
TYC 4273-319-1,2022-12-07 20:58:38.932,339.58776499999993,65.066285,339.5449915665589,65.10204360663872,0.0400423960590035,,12.238874435424805,12.89,12.44,,,187.17191469255624,,,-2.5424204448133656,1.134455,,,-0.5215824306350703
TYC 4273-343-1,2022-12-07 20:58:38.932,339.3993054166666,65.13731277777778,339.4739291909111,65.13433757235036,0.0315176918525316,,11.055931091308594,11.54,11.04,,,1336.4781128910934,,,-4.676723364336281,1.134455,,,-2.6558853501579858
TYC 4273-659-1,2022-12-07 20:58:38.932,340.02271916666666,64.95526805555556,339.94034114114936,64.95003717924534,0.0352662331582401,,10.68376636505127,11.52,10.84,,,198.0727193678728,,,-2.603880397518425,1.134455,,,-0.5830423833401297
TYC 4273-695-1,2022-12-07 20:58:38.932,339.6230466666666,65.06957249999999,339.67968210744084,65.06975880028152,0.0238734691341628,,11.706887245178224,12.47,12.15,,,1250.332278856742,,,-4.604382345156447,1.134455,,,-2.5835443309781514
TYC 4273-822-1,2022-12-07 20:58:38.932,339.8645287499999,65.14470083333335,339.8469839925547,65.1182285703826,0.0274812478014597,,10.90470027923584,11.65,10.91,,,207.1427323194746,,,-2.65249298853343,1.134455,,,-0.6316549743551345
