Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass
GALEX J125702.3+435245,2023-04-02T23:39:36.908,194.25961166666661,43.87941444444444,194.25926756500172,43.887529603362104,0.008118947840683823,,,18.1,,,269.3859593858284,,,-1.1903311168943034,1.015664
TYC 3023-1727-1,2023-04-02T23:39:36.908,194.45246958333328,44.14454194444444,194.4175738727968,44.15872296560133,0.028774718366128566,,,12.18,,,8.48202208870157,,,2.564357775834265,1.015664
TYC 3023-1747-1,2023-04-02T23:39:36.908,194.32141541666664,44.016803333333336,194.35425096793193,44.029645474555586,0.02687720919542864,,,12.02,,,54.00097758021121,,,0.5546022187701299,1.015664
TYC 3023-1899-1,2023-04-02T23:39:36.908,194.16806583333332,43.94271277777777,194.16800834892177,43.93637432877338,0.006338584160235077,,,12.427,,,34.528615597164105,,,1.0401583587531544,1.015664
UCAC4 670-057698,2023-04-02T23:39:36.908,194.14290416666663,43.90944888888889,194.18701044668978,43.89648555503575,0.03432154441075815,,,14.42,,,37.61962343817373,,,0.9470701634213785,1.015664
UCAC4 671-056976,2023-04-02T23:39:36.908,194.1467458333333,44.04041722222222,194.19968444511647,44.045041220090454,0.0383333234535559,,,15.111,,,6758.112679958971,,,-4.688957297942221,1.015664
UCAC4 671-056978,2023-04-02T23:39:36.908,194.23035624999997,44.08350444444444,194.22224922507763,44.077107680740276,0.008650740419447533,,,13.154,,,54.09343744554832,,,0.5527448231268456,1.015664
UCAC4 671-056981,2023-04-02T23:39:36.908,194.25201874999996,44.08410611111111,194.28476443879478,44.0591052321759,0.03433009852477029,,,14.607,,,30.604420912371722,,,1.1711458577891594,1.015664
[VV2006] J125711.4+435654,2023-04-02T23:39:36.908,194.29742916666663,43.94843611111111,194.26627123278305,43.93526801670711,0.026014077869829535,,,19.89,,,90.83958413013983,,,-0.010081569707334011,1.015664
BD+44  2235,2023-04-03T00:02:45.022,194.26339291666665,44.009390555555555,194.23859279977043,44.01429971231986,0.01849940632851532,,,11.283,,,67.57465145868014,,,0.31114673774400187,1.009558
BD+44  2236,2023-04-03T00:02:45.022,194.3568083333333,44.03411805555555,194.37012203554426,44.06760572365377,0.03482796330414082,,,12.118,,,126.19354183949008,,,-0.3669865507710229,1.009558
BD+44  2237,2023-04-03T00:02:45.022,194.35763874999995,43.94248611111111,194.35494613363724,43.93816647200283,0.0047348108229312525,,,11.74,,,1632.4805732999553,,,-3.1465137809649786,1.009558
GALEX J125702.3+435245,2023-04-03T00:02:45.022,194.25961166666661,43.87941444444444,194.2600266278768,43.90239132384205,0.022978825375169137,,,18.1,,,261.05214014961956,,,-1.1562118713541425,1.009558
GEN# +7.00320230,2023-04-03T00:02:45.022,194.4333333333333,44.14666666666667,194.407524300731,44.117475721618376,0.03457243265410608,,,12.41,,,54.491036181267305,,,0.5447936076860844,1.009558
