Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass
TYC 4273-849-1,2024-01-18T21:58:02.353,339.3875783333333,65.02880222222223,339.42524561186156,65.00930679663827,0.025161894830345602,,12.342563,,,62.930065199773594,,,-1.046617349985902,,1.561927
UCAC4 775-051528,2024-01-18T21:58:02.353,339.6520275,64.91847833333334,339.648201991178,64.91449817814605,0.004297884478498215,,12.350152,,,330.9026522232937,,,-2.848722515957616,,1.561927
UCAC4 776-050735,2024-01-18T21:58:02.353,339.45547124999996,65.15067722222223,339.50133718167876,65.137297850954,0.02346693847480561,,12.216036,,,349.59537298794356,,,-2.9083860856390418,,1.561927
UCAC4 776-050768,2024-01-18T21:58:02.353,339.5824233333333,65.16741250000001,339.57868442500126,65.14972814664557,0.017753974159224584,,13.09212,,,86.90583546861876,,,-1.397094243250384,,1.561927
UCAC4 776-050859,2024-01-18T21:58:02.353,339.90894624999993,65.15553861111111,339.9618643622601,65.17290063065253,0.02820393050498926,,12.665632,,,114.44092719662456,,,-1.695925315188669,,1.561927
2MASS J22375782+6453569,2024-01-18T22:02:37.831,339.49095333333327,64.89916472222222,339.483597901911,64.91919763242834,0.02027427654685113,,13.145664,,,238.6037607826441,,,-2.493665107156942,,1.574288
Case  499,2024-01-18T22:02:37.831,339.4184791666666,65.05113833333333,339.41420564208454,65.04975384972325,0.0022729657655494147,,11.506842,,,128.64386840174367,,,-1.822944623490925,,1.574288
Gaia DR3 2211653757940169856,2024-01-18T22:02:37.831,339.6966695833333,65.2426038888889,339.6803175934241,65.21329514360933,0.030098960570800776,,20.391071,,,122.03955691983754,,,-1.7657234512504214,,1.574288
Gaia DR3 2212402628434865152,2024-01-18T22:02:37.831,339.4240958333333,65.2265725,339.4632686785625,65.22247056031051,0.016920639143463766,,13.289844,,,373.347038266088,,,-2.9797536718523636,,1.574288
Gaia DR3 2212402667093547008,2024-01-18T22:02:37.831,339.4619270833333,65.18390861111112,339.5190602845907,65.20072071083757,0.029279413409235778,,14.177248,,,56.21099747631348,,,-0.9240251257481679,,1.574288
TYC 4273-1186-1,2024-01-18T22:02:37.831,339.8064062499999,65.00935527777777,339.8287468450069,65.01318614142419,0.010185433726154412,,11.109891,,,557.8736388242025,,,-3.4158114962191743,,1.574288
TYC 4273-319-1,2024-01-18T22:02:37.831,339.58776499999993,65.066285,339.5155763297544,65.0808614992253,0.033735839921942005,,12.238874,,,525.8202794877541,,,-3.351565224908107,,1.574288
TYC 4273-343-1,2024-01-18T22:02:37.831,339.3993054166666,65.13731277777778,339.42633327124656,65.14330277609764,0.012844657933864285,,11.055931,,,473.59671780784225,,,-3.2379936054996867,,1.574288
TYC 4273-435-1,2024-01-18T22:02:37.831,339.8296558333333,64.86889416666666,339.8778597933723,64.89497811408899,0.03315206824701114,,12.399258,,,74.6545135530844,,,-1.2321120706137403,,1.574288
TYC 4273-695-1,2024-01-18T22:02:37.831,339.6230466666666,65.06957249999999,339.61475503325414,65.05743808685962,0.01262794714658046,,11.706887,,,63.86085010830169,,,-1.0625586345214024,,1.574288
TYC 4273-822-1,2024-01-18T22:02:37.831,339.8645287499999,65.14470083333335,339.8274490763243,65.158386129056,0.020738220802828188,,10.9047,,,70.12724509010349,,,-1.1641888412615862,,1.574288
TYC 4273-849-1,2024-01-18T22:02:37.831,339.3875783333333,65.02880222222223,339.3645705133648,65.00956852176661,0.02154869852444563,,12.342563,,,52.268276622294735,,,-0.8450673479088082,,1.574288
UCAC4 775-051528,2024-01-18T22:02:37.831,339.6520275,64.91847833333334,339.6596206212154,64.92424809201118,0.0066066958396962154,,12.350152,,,918.4537952626696,,,-3.957115178470913,,1.574288
UCAC4 776-050735,2024-01-18T22:02:37.831,339.45547124999996,65.15067722222223,339.50362040823126,65.16580036708348,0.025256408797344407,,12.216036,,,339.88938108314403,,,-2.8778158868415193,,1.574288
UCAC4 776-050768,2024-01-18T22:02:37.831,339.5824233333333,65.16741250000001,339.57419846707023,65.17251458648441,0.006161198958039512,,13.09212,,,133.04072916935587,,,-1.8594334369667158,,1.574288
UCAC4 776-050859,2024-01-18T22:02:37.831,339.90894624999993,65.15553861111111,339.9221945984339,65.17991872936614,0.025006924148864438,,12.665632,,,5558.3720995901,,,-5.911840937767817,,1.574288
V* RZ Cep,2024-01-18T22:02:37.831,339.8049033333333,64.85850305555554,339.8115376055489,64.89341143357692,0.035021837117763036,,9.29427,,,190.18091200702713,,,-2.2473892100055086,,1.574288
2MASS J22375782+6453569,2024-01-18T22:06:23.707,339.49095333333327,64.89916472222222,339.4979668187022,64.8934651419707,0.006429538359110805,,13.145664,,,75.07420660644831,,,-1.238198773763927,,1.585475
Case  499,2024-01-18T22:06:23.707,339.4184791666666,65.05113833333333,339.4314777483975,65.05361654872834,0.006016741715939187,,11.506842,,,104.05277119054287,,,-1.592606023397995,,1.585475
Gaia DR3 2212402628434865152,2024-01-18T22:06:23.707,339.4240958333333,65.2265725,339.45306896507634,65.20246069129627,0.026998312595807795,,13.289844,,,376.9380143920669,,,-2.9901467419198635,,1.585475
TYC 4273-1186-1,2024-01-18T22:06:23.707,339.8064062499999,65.00935527777777,339.7966281637885,65.02240507687408,0.01368771974015986,,11.109891,,,282.42491568101684,,,-2.6767294151394028,,1.585475
TYC 4273-319-1,2024-01-18T22:06:23.707,339.58776499999993,65.066285,339.52749283326494,65.03549579581892,0.03992910894758624,,12.238874,,,512.1097353105829,,,-3.3228794755699997,,1.585475
TYC 4273-343-1,2024-01-18T22:06:23.707,339.3993054166666,65.13731277777778,339.4040442795073,65.13770027053968,0.0020297475917168775,,11.055931,,,54.678074617227026,,,-0.894004929030492,,1.585475
TYC 4273-435-1,2024-01-18T22:06:23.707,339.8296558333333,64.86889416666666,339.7912036548493,64.90574737028909,0.04030473184124364,,12.399258,,,111.4707969412483,,,-1.6673746608533508,,1.585475
TYC 4273-695-1,2024-01-18T22:06:23.707,339.6230466666666,65.06957249999999,339.63672928595594,65.06445217169977,0.00771283240464819,,11.706887,,,69.68170662935961,,,-1.1572688426630648,,1.585475
TYC 4273-822-1,2024-01-18T22:06:23.707,339.8645287499999,65.14470083333335,339.8447621590371,65.15119708731896,0.010545842690838927,,10.9047,,,178.09815320800337,,,-2.1761204358764017,,1.585475
TYC 4273-849-1,2024-01-18T22:06:23.707,339.3875783333333,65.02880222222223,339.3414292502266,65.01316653952519,0.024985226866060608,,12.342563,,,63.328654938721314,,,-1.053472555671856,,1.585475
TYC 4273-922-1,2024-01-18T22:06:23.707,339.2812283333333,64.93230138888889,339.35837826914815,64.95710936062325,0.04102344646223181,,10.665483,,,293.1061240013131,,,-2.717034126840896,,1.585475
UCAC4 775-051528,2024-01-18T22:06:23.707,339.6520275,64.91847833333334,339.6618710918137,64.9116456178434,0.008006400831067224,,12.350152,,,555.654387281923,,,-3.411483765114696,,1.585475
UCAC4 776-050735,2024-01-18T22:06:23.707,339.45547124999996,65.15067722222223,339.4903636647766,65.15676160627473,0.015873649377264102,,12.216036,,,570.5484881050044,,,-3.4402032928984316,,1.585475
UCAC4 776-050768,2024-01-18T22:06:23.707,339.5824233333333,65.16741250000001,339.6065334364246,65.16291543543798,0.01107999608532898,,13.09212,,,107.94227223582979,,,-1.6324507855446182,,1.585475
UCAC4 776-050859,2024-01-18T22:06:23.707,339.90894624999993,65.15553861111111,339.9629913793655,65.16679276087201,0.02533897018192818,,12.665632,,,176.50064426746803,,,-2.166337633221744,,1.585475
V* RZ Cep,2024-01-18T22:06:23.707,339.8049033333333,64.85850305555554,339.8012179740772,64.87358685454711,0.015164800391632961,,9.29427,,,194.1027035306533,,,-2.269550856812545,,1.585475
2MASS J22375782+6453569,2024-01-18T22:10:38.962,339.49095333333327,64.89916472222222,339.48502612390905,64.93875090617374,0.0396658395470939,,13.145664,,,240.66598508774243,,,-2.5030086779873573,,1.595952
Case  499,2024-01-18T22:10:38.962,339.4184791666666,65.05113833333333,339.4448844535889,65.04902043597433,0.011337999033894363,,11.506842,,,15.355475794963752,,,0.48486990988161977,,1.595952
Gaia DR3 2211653757940169856,2024-01-18T22:10:38.962,339.6966695833333,65.2426038888889,339.68186761729106,65.23285940724509,0.011549599634519682,,20.391071,,,120.82603584940537,,,-1.7548732133747538,,1.595952
Gaia DR3 2212402628434865152,2024-01-18T22:10:38.962,339.4240958333333,65.2265725,339.4620446023734,65.2244151398873,0.016048029899844725,,13.289844,,,253.975079541165,,,-2.5614496582480184,,1.595952
Gaia DR3 2212402667093547008,2024-01-18T22:10:38.962,339.4619270833333,65.18390861111112,339.50208840639624,65.19621435891285,0.020866811202308433,,14.177248,,,594.6846159451948,,,-3.485188655133255,,1.595952
TYC 4273-1186-1,2024-01-18T22:10:38.962,339.8064062499999,65.00935527777777,339.7839809514932,65.01026587732898,0.009517521893921544,,11.109891,,,67.96845210887557,,,-1.1302403446097435,,1.595952
TYC 4273-319-1,2024-01-18T22:10:38.962,339.58776499999993,65.066285,339.54087732869596,65.045825568647,0.028453460395320252,,12.238874,,,397.6256452811718,,,-3.0481578629826545,,1.595952
TYC 4273-343-1,2024-01-18T22:10:38.962,339.3993054166666,65.13731277777778,339.4366419523582,65.13027070770418,0.017207035690830732,,11.055931,,,142.90055528397545,,,-1.9370566866679326,,1.595952
TYC 4273-650-1,2024-01-18T22:10:38.962,340.0967083333333,65.18951222222222,339.998999535542,65.18418397412879,0.04134924841331058,,10.161988,,,165.29654009397183,,,-2.095131303790229,,1.595952
TYC 4273-695-1,2024-01-18T22:10:38.962,339.6230466666666,65.06957249999999,339.62668836495646,65.07088396444142,0.0020189524073158985,,11.706887,,,115.52938633395652,,,-1.7062030619064452,,1.595952
TYC 4273-822-1,2024-01-18T22:10:38.962,339.8645287499999,65.14470083333335,339.886975938896,65.13266307560735,0.015296099411969005,,10.9047,,,498.22167744248895,,,-3.2930284447340634,,1.595952
TYC 4273-849-1,2024-01-18T22:10:38.962,339.3875783333333,65.02880222222223,339.3715806687446,65.00102383612943,0.028588416229070723,,12.342563,,,282.5501699796608,,,-2.6772108279751854,,1.595952
UCAC4 775-051528,2024-01-18T22:10:38.962,339.6520275,64.91847833333334,339.64035647429824,64.93943571072691,0.021532989478403926,,12.350152,,,54.53655218263248,,,-0.8911910913325393,,1.595952
UCAC4 776-050735,2024-01-18T22:10:38.962,339.45547124999996,65.15067722222223,339.5184961128382,65.14311596757096,0.027546971504164627,,12.216036,,,365.1045522607727,,,-2.955515015546746,,1.595952
UCAC4 776-050768,2024-01-18T22:10:38.962,339.5824233333333,65.16741250000001,339.59589520361953,65.15554777825137,0.013145196077949952,,13.09212,,,81.48668303910586,,,-1.3271884956326099,,1.595952
UCAC4 776-050859,2024-01-18T22:10:38.962,339.90894624999993,65.15553861111111,339.9158533735606,65.18060608803843,0.025234747138911506,,12.665632,,,97.15480192623014,,,-1.5181325724590002,,1.595952
2MASS J22375782+6453569,2024-01-18T22:14:41.385,339.49095333333327,64.89916472222222,339.4886575397703,64.93960187187379,0.04044885824100871,,13.145664,,,229.77541660493284,,,-2.4527308012063824,,1.607228
Case  499,2024-01-18T22:14:41.385,339.4184791666666,65.05113833333333,339.4420043913642,65.05123121262375,0.009923573159839992,,11.506842,,,19.160743531890688,,,0.24449720965497213,,1.607228
Gaia DR3 2211653757940169856,2024-01-18T22:14:41.385,339.6966695833333,65.2426038888889,339.6854043920963,65.23369378871799,0.01008231936749371,,20.391071,,,123.08320018807001,,,-1.7749688443871907,,1.607228
Gaia DR3 2212402628434865152,2024-01-18T22:14:41.385,339.4240958333333,65.2265725,339.446367998173,65.21261591059414,0.016790835991136895,,13.289844,,,232.80930374088575,,,-2.466972725727793,,1.607228
Gaia DR3 2212402667093547008,2024-01-18T22:14:41.385,339.4619270833333,65.18390861111112,339.50569110908464,65.19704068045499,0.022575870688382373,,14.177248,,,574.0314886458967,,,-3.4468111866900757,,1.607228
TYC 4273-1186-1,2024-01-18T22:14:41.385,339.8064062499999,65.00935527777777,339.7876815037596,65.01121964886902,0.008127107286242195,,11.109891,,,68.82017801365888,,,-1.1437613748555884,,1.607228
TYC 4273-319-1,2024-01-18T22:14:41.385,339.58776499999993,65.066285,339.5416687227506,65.04579579288168,0.028244134468075204,,12.238874,,,192.6207891653187,,,-2.261229790290192,,1.607228
TYC 4273-343-1,2024-01-18T22:14:41.385,339.3993054166666,65.13731277777778,339.4402344935587,65.13106764087473,0.01830850446066511,,11.055931,,,131.81558346840032,,,-1.849388786583489,,1.607228
TYC 4273-650-1,2024-01-18T22:14:41.385,340.0967083333333,65.18951222222222,340.0026100847016,65.18501147875462,0.03974435206114131,,10.161988,,,156.41613890770128,,,-2.0351757988117654,,1.607228
TYC 4273-695-1,2024-01-18T22:14:41.385,339.6230466666666,65.06957249999999,339.6303617876392,65.0717266222448,0.003761269001350783,,11.706887,,,106.86617779945664,,,-1.6215725871981799,,1.607228
TYC 4273-822-1,2024-01-18T22:14:41.385,339.8645287499999,65.14470083333335,339.890585486847,65.13351146621329,0.015659088836580057,,10.9047,,,486.6606520773339,,,-3.2675374799628902,,1.607228
TYC 4273-849-1,2024-01-18T22:14:41.385,339.3875783333333,65.02880222222223,339.3752657119932,65.00183955194446,0.027459631249187336,,12.342563,,,279.4776338562235,,,-2.6653395400383535,,1.607228
UCAC4 775-051528,2024-01-18T22:14:41.385,339.6520275,64.91847833333334,339.6114641954999,64.93410800611385,0.02323327787291516,,12.350152,,,92.19725362498465,,,-1.4612668568887122,,1.607228
UCAC4 776-050735,2024-01-18T22:14:41.385,339.45547124999996,65.15067722222223,339.4469058694804,65.17497702678538,0.024564705163968418,,12.216036,,,93.25275114257423,,,-1.4736260287837675,,1.607228
UCAC4 776-050768,2024-01-18T22:14:41.385,339.5824233333333,65.16741250000001,339.59956652460755,65.1563559203465,0.013194838718334195,,13.09212,,,96.83362465549473,,,-1.5145373671598241,,1.607228
UCAC4 776-050859,2024-01-18T22:14:41.385,339.90894624999993,65.15553861111111,339.9193250383667,65.18139558472433,0.026221753893331548,,12.665632,,,96.21219843501737,,,-1.5075472415421731,,1.607228
2MASS J22375782+6453569,2024-01-18T22:19:02.461,339.49095333333327,64.89916472222222,339.5185401245173,64.93077651277243,0.03370602849854536,,13.145664,,,67.07693071724432,,,-1.1159048509548615,,1.619498
Case  499,2024-01-18T22:19:02.461,339.4184791666666,65.05113833333333,339.42455138236176,65.06720744646415,0.01627184019030398,,11.506842,,,141.13231383045928,,,-1.9235380500846393,,1.619498
Gaia DR3 2211653757940169856,2024-01-18T22:19:02.461,339.6966695833333,65.2426038888889,339.69076157156644,65.23075255671148,0.012106947790522979,,20.391071,,,119.67981216853414,,,-1.7445241430147402,,1.619498
Gaia DR3 2212402628434865152,2024-01-18T22:19:02.461,339.4240958333333,65.2265725,339.4710041439224,65.22227980784317,0.020120877943749907,,13.289844,,,272.37579876437576,,,-2.6373931878719286,,1.619498
TYC 4273-1186-1,2024-01-18T22:19:02.461,339.8064062499999,65.00935527777777,339.7928912417409,65.00807287849415,0.00585206497345654,,11.109891,,,63.718332225699356,,,-1.0601328956743385,,1.619498
TYC 4273-319-1,2024-01-18T22:19:02.461,339.58776499999993,65.066285,339.54698885314576,65.04284313234903,0.029073640339563736,,12.238874,,,190.95884220343163,,,-2.251821327844548,,1.619498
TYC 4273-343-1,2024-01-18T22:19:02.461,339.3993054166666,65.13731277777778,339.44561767091517,65.1281133653514,0.021538566881111207,,11.055931,,,139.8286255565104,,,-1.9134621176754467,,1.619498
TYC 4273-650-1,2024-01-18T22:19:02.461,340.0967083333333,65.18951222222222,340.00789270012604,65.18201031654093,0.03802137218412248,,10.161988,,,154.41987232886152,,,-2.021229868353317,,1.619498
TYC 4273-695-1,2024-01-18T22:19:02.461,339.6230466666666,65.06957249999999,339.6357275087648,65.06871933588437,0.0054129406695053355,,11.706887,,,108.6076208240109,,,-1.639122645908654,,1.619498
TYC 4273-822-1,2024-01-18T22:19:02.461,339.8645287499999,65.14470083333335,339.89591475308555,65.13050662579919,0.019380620693828506,,10.9047,,,486.63158001029564,,,-3.267472618465594,,1.619498
TYC 4273-849-1,2024-01-18T22:19:02.461,339.3875783333333,65.02880222222223,339.3805878615322,64.99887429810953,0.030073235509847238,,12.342563,,,274.8452968128079,,,-2.647192669880205,,1.619498
